movie_id,region
1291549,Switzerland_瑞士
6786002,France_法国
3319755,United States of America_美国
1849031,United States of America_美国
1291560,Japan_日本
1292064,United States of America_美国
1292000,United States of America_美国
1292000,Germany_德国
1291841,United States of America_美国
1309046,United States of America_美国
1309046,United Kingdom_英国
1309046,Germany_德国
1299398,China_香港
1299398,China_中国大陆
2129039,United States of America_美国
1907966,United States of America_美国
3742360,China_中国大陆
3742360,China_香港
1307914,China_香港
1291828,Italy_意大利
1291828,France_法国
1851857,United States of America_美国
1851857,United Kingdom_英国
1291552,United States of America_美国
1291552,New Zealand_新西兰
1291583,Japan_日本
1293839,United States of America_美国
1293182,United States of America_美国
1293350,United Kingdom_英国
1291858,China_中国大陆
1292215,France_法国
1292215,Germany_德国
1900841,Germany_德国
1292223,United States of America_美国
1300267,United States of America_美国
1306029,United States of America_美国
1780330,United States of America_美国
1780330,United Kingdom_英国
1292370,United States of America_美国
1292224,United States of America_美国
1787291,Japan_日本
1298624,United States of America_美国
1291571,New Zealand_新西兰
1291571,United States of America_美国
1292365,China_中国大陆
1292365,China_香港
1291572,United States of America_美国
1291572,New Zealand_新西兰
1652587,United States of America_美国
1652587,United Kingdom_英国
1485260,United States of America_美国
3287562,United States of America_美国
1308807,Japan_日本
4917726,South Korea_韩国
1292343,United States of America_美国
1292343,Canada_加拿大
1292220,Japan_日本
1291548,United States of America_美国
2334904,United States of America_美国
1292402,Italy_意大利
1292402,United States of America_美国
1291832,United States of America_美国
21360417,South Korea_韩国
1296736,France_法国
1296736,Germany_德国
1296736,United Kingdom_英国
1296736,Poland_波兰
1293544,United States of America_美国
2353023,United States of America_美国
6985810,Denmark_丹麦
6985810,Sweden_瑞典
6985810,Belgium_比利时
1291843,United States of America_美国
1291843,Australia_澳大利亚
1299131,United States of America_美国
1297192,United States of America_美国
1291818,China_台湾
1291818,United States of America_美国
1301753,United States of America_美国
1292262,Italy_意大利
1292262,United States of America_美国
10577869,United Kingdom_英国
4268598,Japan_日本
1978709,United States of America_美国
1316510,China_香港
2149806,Japan_日本
1294639,United States of America_美国
1292656,United States of America_美国
1298070,United States of America_美国
1300299,South Korea_韩国
1291999,China_香港
1418834,United States of America_美国
1418834,Canada_加拿大
3072124,Australia_澳大利亚
1292849,United States of America_美国
10777687,South Korea_韩国
1297630,United States of America_美国
6874403,United States of America_美国
1291875,China_中国大陆
1291875,China_香港
3792799,China_香港
3792799,China_中国大陆
2209573,United Kingdom_英国
2209573,United States of America_美国
1291545,United States of America_美国
3011235,United States of America_美国
3011235,United Kingdom_英国
3075287,United States of America_美国
3075287,Canada_加拿大
5322596,United States of America_美国
1296339,United States of America_美国
1296339,Austria_奥地利
1296339,Switzerland_瑞士
1304447,United States of America_美国
3395373,United States of America_美国
3395373,United Kingdom_英国
1793929,United States of America_美国
4739952,Thailand_泰国
4920528,China_台湾
1294408,United States of America_美国
1305487,United States of America_美国
1305487,Canada_加拿大
1297359,Japan_日本
1305164,China_香港
1292679,China_香港
1292679,Japan_日本
1292679,South Korea_韩国
3011051,United Kingdom_英国
3011051,Australia_澳大利亚
1303021,Iran_伊朗
1291579,United States of America_美国
1291990,United States of America_美国
4202302,Japan_日本
1309163,United States of America_美国
6534248,United States of America_美国
1295038,United States of America_美国
1295038,United Kingdom_英国
1292208,Brazil_巴西
1292208,France_法国
1306249,China_香港
1297447,China_香港
2043546,Japan_日本
6307447,United States of America_美国
3008247,United Kingdom_英国
3008247,United States of America_美国
5989818,Japan_日本
1292401,United Kingdom_英国
1292401,United States of America_美国
4023638,United Kingdom_英国
4023638,Australia_澳大利亚
4023638,United States of America_美国
1296141,United States of America_美国
1302425,China_香港
1418019,China_中国大陆
1291870,United States of America_美国
1760622,Germany_德国
1760622,France_法国
1760622,Spain_西班牙
1760622,United States of America_美国
1293359,Japan_日本
1292434,China_台湾
1292434,Japan_日本
1293318,Japan_日本
1418200,France_法国
1418200,United Kingdom_英国
1418200,United States of America_美国
1292328,China_香港
1292328,China_台湾
